epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,75.9511,3.06154,1.90927,0.91927,0.04797,0.12079,0.08108,0.03105,3.1889,2.33864,0.91701,0.000827782,0.000827782,0.000827782
44,77.4415,2.94076,1.83878,0.93585,0.04808,0.12299,0.08458,0.03026,3.24109,2.22456,0.91683,0.000832902,0.000832902,0.000832902
45,79.4862,3.25372,2.08401,0.8931,0.04808,0.12299,0.08458,0.03026,3.24109,2.22456,0.91683,0.000837361,0.000837361,0.000837361
46,81.005,3.0231,1.89488,0.9382,0.57916,0.12006,0.08659,0.02991,3.23173,2.18169,0.91477,0.00084116,0.00084116,0.00084116
47,82.317,3.17485,1.92149,0.90829,0.57916,0.12006,0.08659,0.02991,3.23173,2.18169,0.91477,0.000844299,0.000844299,0.000844299
48,83.6104,2.86732,1.76113,0.94048,0.16788,0.08785,0.08223,0.02758,3.26734,2.16892,0.91626,0.000846778,0.000846778,0.000846778
49,85.0864,3.05153,1.9077,0.92757,0.16788,0.08785,0.08223,0.02758,3.26734,2.16892,0.91626,0.000848596,0.000848596,0.000848596
50,86.5691,2.93579,1.81896,0.90211,0.69259,0.05637,0.06555,0.02016,3.54171,2.15266,0.93414,0.000849755,0.000849755,0.000849755
51,87.861,2.94165,1.81662,0.90724,0.69259,0.05637,0.06555,0.02016,3.54171,2.15266,0.93414,0.000841835,0.000841835,0.000841835
52,89.1728,3.19374,1.93263,0.89353,0.68893,0.04535,0.05206,0.01217,3.84738,2.14251,0.95435,0.000825332,0.000825332,0.000825332
53,90.7407,3.06461,1.91887,0.91338,0.68893,0.04535,0.05206,0.01217,3.84738,2.14251,0.95435,0.000808828,0.000808828,0.000808828
54,93.1791,3.07012,1.87384,0.92331,0.69363,0.05198,0.06174,0.01658,3.68856,2.09385,0.94118,0.000792325,0.000792325,0.000792325
55,94.7204,2.95953,1.813,0.92876,0.69363,0.05198,0.06174,0.01658,3.68856,2.09385,0.94118,0.000775822,0.000775822,0.000775822
56,96.2859,3.27852,2.10397,0.88045,0.23729,0.06881,0.0852,0.02958,3.3299,2.05572,0.91948,0.000759318,0.000759318,0.000759318
57,97.7408,2.83838,1.74933,0.94753,0.23729,0.06881,0.0852,0.02958,3.3299,2.05572,0.91948,0.000742815,0.000742815,0.000742815
58,99.3774,3.24839,2.04083,0.91661,0.25456,0.08492,0.10075,0.03787,3.07682,2.00788,0.90566,0.000726312,0.000726312,0.000726312
59,100.87,2.85565,1.71965,0.92639,0.25456,0.08492,0.10075,0.03787,3.07682,2.00788,0.90566,0.000709809,0.000709809,0.000709809
60,102.144,3.14499,1.91499,0.91376,0.24803,0.08492,0.10174,0.04036,3.0319,1.95247,0.90573,0.000693305,0.000693305,0.000693305
61,104.272,3.40555,2.25307,0.92247,0.24803,0.08492,0.10174,0.04036,3.0319,1.95247,0.90573,0.000676802,0.000676802,0.000676802
62,106.708,3.13377,1.85014,0.91541,0.7468,0.08638,0.10385,0.03639,3.15401,1.89434,0.9135,0.000660299,0.000660299,0.000660299
63,108.195,3.10614,1.9144,0.89107,0.7468,0.08638,0.10385,0.03639,3.15401,1.89434,0.9135,0.000643795,0.000643795,0.000643795
64,109.738,3.0207,1.79606,0.92095,0.73632,0.0754,0.08847,0.02919,3.35105,1.89707,0.92396,0.000627292,0.000627292,0.000627292
65,111.214,2.79264,1.68795,0.92811,0.73632,0.0754,0.08847,0.02919,3.35105,1.89707,0.92396,0.000610789,0.000610789,0.000610789
66,112.594,2.77763,1.67711,0.90779,0.73666,0.07174,0.08724,0.0281,3.40537,1.87152,0.92828,0.000594286,0.000594286,0.000594286
